apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_conflict_corr_event_001,needs_more_evidence,Comparable public-health claims conflict and require review.,conflicting_claims_review,Which claim should be treated as comparable evidence after review?,P0_critical,Review required: conflicting_claims_review,review_claim_corroboration_conflict_corr_event_001,REPLACE_WITH_REVIEWER_ID,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - Reoccurring Salmonella Cotham Outbreak Linked to Pet Bea...,https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,claim_rec_src_search_10ccb06f620d_001_cases_unspecified; claim_rec_src_search_33733b13ba13_003_deaths; claim_rec_src_search_33733b13ba13_004_observation; claim_rec_src_search_051378e10a24_001_observation; claim_rec_src_search_051378e10a24_002_observation; claim_rec_src_search_10ccb06f620d_003_cases_confirmed; claim_rec_src_search_10ccb06f620d_004_cases_probable; claim_rec_src_search_10ccb06f620d_002_hospitalizations; claim_rec_src_search_3b86862864f7_001_cases_confirmed; claim_rec_src_search_3b86862864f7_001_cases_unspecified; claim_rec_src_search_3b86862864f7_002_cases_confirmed; claim_rec_src_search_3b86862864f7_003_cases_unspecified; claim_rec_src_search_33733b13ba13_002_hospitalizations; claim_rec_src_search_8207a084046e_001_hospitalizations; claim_rec_src_search_33733b13ba13_001_cases_unspecified; src_search_10ccb06f620d; src_search_3b86862864f7; src_search_33733b13ba13; src_search_051378e10a24; src_search_8207a084046e; corr_event_001,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_004,accept_anomaly,"![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png) ![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg) **Official websites use .gov** A .gov website belongs to an official government organization in the United States. ![](/TemplatePackage/4.0/assets/imgs/uswds/icon-https.svg) **Secure .gov websites use HTTPS** A lock ( ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites. ![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg) ![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg) # Reoccurring *Salmonella* Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024 *Weekly* / August 21, 2025 / 74(31);474–479 Lingzi Xiaoli, PhD1; Paula Huth, MPH2; Cassandra Sherma...",validation_conflict_review,"What decision, if any, should a human reviewer record?",P0_critical,Review required: validation_conflict_review,review_anomaly_anom_004,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_anomaly_anom_004 - Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United Stat...,https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,src_search_10ccb06f620d; event_003; anom_004; val_result_018,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_005,accept_anomaly,"Among 9,219 *Salmonella* infections reported, 7,314 (79%) infections had positive culture results.",validation_conflict_review,"What decision, if any, should a human reviewer record?",P0_critical,Review required: validation_conflict_review,review_anomaly_anom_005,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_anomaly_anom_005 - FoodNet 2024 Preliminary Data | FoodNet | CDC,https://www.cdc.gov/foodnet/reports/preliminary-data.html,src_search_3b86862864f7; event_009; anom_005; val_result_025,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_003,accept_anomaly,"Bearded dragons have been linked to *Salmonella* outbreaks, including a 2012–2014 *Salmonella* Cotham outbreak involving 160 patients in 35 states.",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_003,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_003 - Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United Stat...,https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,src_search_10ccb06f620d; event_002; anom_003; val_result_001,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_003,accept_as_is,"![](/TemplatePackage/4.0/assets/imgs/uswds/us_flag_small.png) ![](/TemplatePackage/4.0/assets/imgs/uswds/icon-dot-gov.svg) **Official websites use .gov** A .gov website belongs to an official government organization in the United States. ![](/TemplatePackage/4.0/assets/imgs/uswds/icon-https.svg) **Secure .gov websites use HTTPS** A lock ( ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites. ![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg) ![CDC Logo](/TemplatePackage/4.0/assets/imgs/logo/logo-notext.svg) # Reoccurring *Salmonella* Cotham Outbreak Linked to Pet Bearded Dragons — United States, 2024 *Weekly* / August 21, 2025 / 74(31);474–479 Lingzi Xiaoli, PhD1; Paula Huth, MPH2; Cassandra Sherma...",validation_conflict_review,"What decision, if any, should a human reviewer record?",P1_high,Review required: validation_conflict_review,review_duplicate_event_003,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_duplicate_event_003 - Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United S...,https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,rec_src_search_10ccb06f620d_003; rec_src_search_10ccb06f620d_004; event_003,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_review_corr_event_002,needs_more_evidence,Primary case claim has no independent corroborating source.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_claim_corroboration_review_corr_event_002,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_claim_corroboration_review_corr_event_002 - FoodNet 2024 Preliminary Data | FoodNet | CDC,https://www.cdc.gov/foodnet/reports/preliminary-data.html,claim_rec_src_search_3b86862864f7_004_cases_unspecified; src_search_3b86862864f7; corr_event_002,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_15fc5f8d47e2,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_15fc5f8d47e2,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_15fc5f8d47e2 - Food for Thought 2025 - PIRG,https://pirg.org/edfund/resources/food-for-thought-2025,src_search_15fc5f8d47e2,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_58ef4c36918e,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_58ef4c36918e,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_58ef4c36918e - Food Recalls in 2024: Revealing the Statistics - FSNS,https://fsns.com/food-recalls-in-2024-revealing-the-statistics,src_search_58ef4c36918e,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_source_credibility_src_search_793a8dd9911b,approve_source_role,,source_identity_review,"Who is the actual publisher, and is it independent of other evidence?",P1_high,Review required: source_identity_review,review_source_credibility_src_search_793a8dd9911b,REPLACE_WITH_REVIEWER_ID,source identity review - review_source_credibility_src_search_793a8dd9911b - Outbreak Investigation of Salmonella: Cucumbers (November 20...,https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-november-2024,src_search_793a8dd9911b,source
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_004,accept_as_is,| ****Hospitalization (n = 24)**** | |,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P1_high,Review required: claim_corroboration_review,review_duplicate_event_004,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_duplicate_event_004 - Reoccurring Salmonella Cotham Outbreak Linked to Pet Bearded Dragons — United S...,https://www.cdc.gov/mmwr/volumes/74/wr/mm7431a1.htm?ACSTrackingID=USCDC_921-DM149359&ACSTrackingLabel=Week+in+MMWR%3A+Vol.+74%2C+August+21%2C+2025&deliveryName=USCDC_921-DM149359,rec_src_search_10ccb06f620d_002; event_004,record
