session_id,node_number,node_name,status,duration_ms,last_message
goal_round05_west_nile_california_2024_08,01,task_intake_and_scope_planning,completed,2,task_intake_and_scope_planning completed.
goal_round05_west_nile_california_2024_08,02,disease_intelligence_builder,completed,57323,disease_intelligence_builder completed.
goal_round05_west_nile_california_2024_08,03,profile_and_schema_setup,completed,4,profile_and_schema_setup completed.
goal_round05_west_nile_california_2024_08,04,executable_source_planning,completed,63184,executable_source_planning completed.
goal_round05_west_nile_california_2024_08,05,query_strategy_builder,completed,9,query_strategy_builder completed.
goal_round05_west_nile_california_2024_08,06,source_discovery,completed,199142,source_discovery completed.
goal_round05_west_nile_california_2024_08,07,source_dedup_and_registry,completed,21,source_dedup_and_registry completed.
goal_round05_west_nile_california_2024_08,08,source_screening,completed,28,source_screening completed.
goal_round05_west_nile_california_2024_08,09,source_critic_and_uncertainty_routing,completed,72820,source_critic_and_uncertainty_routing completed.
goal_round05_west_nile_california_2024_08,10,content_fetch_and_parse,completed,46233,content_fetch_and_parse completed.
goal_round05_west_nile_california_2024_08,11,document_quality_check,completed,1075,document_quality_check completed.
goal_round05_west_nile_california_2024_08,12,evidence_chunking_and_data_presence_flagging,completed,1734,evidence_chunking_and_data_presence_flagging completed.
goal_round05_west_nile_california_2024_08,13,structured_extraction,completed,302463,structured_extraction completed.
goal_round05_west_nile_california_2024_08,14,schema_validation_and_repair,completed,299,schema_validation_and_repair completed.
goal_round05_west_nile_california_2024_08,15,record_normalization,completed,182,record_normalization completed.
goal_round05_west_nile_california_2024_08,16,record_linking,completed,125,record_linking completed.
goal_round05_west_nile_california_2024_08,17,cross_source_consistency_check,completed,144,cross_source_consistency_check completed.
goal_round05_west_nile_california_2024_08,18,quality_gate_routing,completed,148,quality_gate_routing completed.
goal_round05_west_nile_california_2024_08,19,human_review,pending,,
goal_round05_west_nile_california_2024_08,20,final_data_package_builder,completed,526,final_data_package_builder completed.
goal_round05_cholera_haiti_2024_full_year,01,task_intake_and_scope_planning,completed,2,task_intake_and_scope_planning completed.
goal_round05_cholera_haiti_2024_full_year,02,disease_intelligence_builder,completed,53393,disease_intelligence_builder completed.
goal_round05_cholera_haiti_2024_full_year,03,profile_and_schema_setup,completed,5,profile_and_schema_setup completed.
goal_round05_cholera_haiti_2024_full_year,04,executable_source_planning,completed,59793,executable_source_planning completed.
goal_round05_cholera_haiti_2024_full_year,05,query_strategy_builder,completed,11,query_strategy_builder completed.
goal_round05_cholera_haiti_2024_full_year,06,source_discovery,completed,208429,source_discovery completed.
goal_round05_cholera_haiti_2024_full_year,07,source_dedup_and_registry,completed,22,source_dedup_and_registry completed.
goal_round05_cholera_haiti_2024_full_year,08,source_screening,completed,31,source_screening completed.
goal_round05_cholera_haiti_2024_full_year,09,source_critic_and_uncertainty_routing,completed,14890,source_critic_and_uncertainty_routing completed.
goal_round05_cholera_haiti_2024_full_year,10,content_fetch_and_parse,completed,22328,content_fetch_and_parse completed.
goal_round05_cholera_haiti_2024_full_year,11,document_quality_check,completed,1168,document_quality_check completed.
goal_round05_cholera_haiti_2024_full_year,12,evidence_chunking_and_data_presence_flagging,completed,1716,evidence_chunking_and_data_presence_flagging completed.
goal_round05_cholera_haiti_2024_full_year,13,structured_extraction,completed,139857,structured_extraction completed.
goal_round05_cholera_haiti_2024_full_year,14,schema_validation_and_repair,completed,113,schema_validation_and_repair completed.
goal_round05_cholera_haiti_2024_full_year,15,record_normalization,completed,101,record_normalization completed.
goal_round05_cholera_haiti_2024_full_year,16,record_linking,completed,94,record_linking completed.
goal_round05_cholera_haiti_2024_full_year,17,cross_source_consistency_check,completed,98,cross_source_consistency_check completed.
goal_round05_cholera_haiti_2024_full_year,18,quality_gate_routing,completed,97,quality_gate_routing completed.
goal_round05_cholera_haiti_2024_full_year,19,human_review,pending,,
goal_round05_cholera_haiti_2024_full_year,20,final_data_package_builder,completed,165,final_data_package_builder completed.
goal_round05_legionnaires_nyc_2025_08,01,task_intake_and_scope_planning,completed,5,task_intake_and_scope_planning completed.
goal_round05_legionnaires_nyc_2025_08,02,disease_intelligence_builder,completed,46714,disease_intelligence_builder completed.
goal_round05_legionnaires_nyc_2025_08,03,profile_and_schema_setup,completed,5,profile_and_schema_setup completed.
goal_round05_legionnaires_nyc_2025_08,04,executable_source_planning,completed,59089,executable_source_planning completed.
goal_round05_legionnaires_nyc_2025_08,05,query_strategy_builder,completed,10,query_strategy_builder completed.
goal_round05_legionnaires_nyc_2025_08,06,source_discovery,completed,199114,source_discovery completed.
goal_round05_legionnaires_nyc_2025_08,07,source_dedup_and_registry,completed,20,source_dedup_and_registry completed.
goal_round05_legionnaires_nyc_2025_08,08,source_screening,completed,27,source_screening completed.
goal_round05_legionnaires_nyc_2025_08,09,source_critic_and_uncertainty_routing,completed,62484,source_critic_and_uncertainty_routing completed.
goal_round05_legionnaires_nyc_2025_08,10,content_fetch_and_parse,completed,4519,content_fetch_and_parse completed.
goal_round05_legionnaires_nyc_2025_08,11,document_quality_check,completed,426,document_quality_check completed.
goal_round05_legionnaires_nyc_2025_08,12,evidence_chunking_and_data_presence_flagging,completed,623,evidence_chunking_and_data_presence_flagging completed.
goal_round05_legionnaires_nyc_2025_08,13,structured_extraction,completed,283590,structured_extraction completed.
goal_round05_legionnaires_nyc_2025_08,14,schema_validation_and_repair,completed,182,schema_validation_and_repair completed.
goal_round05_legionnaires_nyc_2025_08,15,record_normalization,completed,286,record_normalization completed.
goal_round05_legionnaires_nyc_2025_08,16,record_linking,completed,101,record_linking completed.
goal_round05_legionnaires_nyc_2025_08,17,cross_source_consistency_check,completed,131,cross_source_consistency_check completed.
goal_round05_legionnaires_nyc_2025_08,18,quality_gate_routing,completed,116,quality_gate_routing completed.
goal_round05_legionnaires_nyc_2025_08,19,human_review,pending,,
goal_round05_legionnaires_nyc_2025_08,20,final_data_package_builder,completed,297,final_data_package_builder completed.
