session_id,node,concept,actual_nodes,status,duration_ms,message
goal_round06_measles_us_2025_q1,01,task scope,task_intake_and_scope_planning,completed,1,task_intake_and_scope_planning completed.
goal_round06_measles_us_2025_q1,02,disease intelligence,disease_intelligence_builder,completed,57684,disease_intelligence_builder completed.
goal_round06_measles_us_2025_q1,03,profile/schema setup,profile_and_schema_setup,completed,4,profile_and_schema_setup completed.
goal_round06_measles_us_2025_q1,04,source planning/query strategy,executable_source_planning;query_strategy_builder,completed;completed,60791;10,executable_source_planning completed. | query_strategy_builder completed.
goal_round06_measles_us_2025_q1,05,source discovery,source_discovery,completed,169692,source_discovery completed.
goal_round06_measles_us_2025_q1,06,source registry/dedup,source_dedup_and_registry,completed,20,source_dedup_and_registry completed.
goal_round06_measles_us_2025_q1,07,source screening,source_screening,completed,28,source_screening completed.
goal_round06_measles_us_2025_q1,08,source critic,source_critic_and_uncertainty_routing,completed,54375,source_critic_and_uncertainty_routing completed.
goal_round06_measles_us_2025_q1,09,fetch/parse,content_fetch_and_parse,completed,64499,content_fetch_and_parse completed.
goal_round06_measles_us_2025_q1,10,document quality,document_quality_check,completed,1913,document_quality_check completed.
goal_round06_measles_us_2025_q1,11,evidence chunking,evidence_chunking_and_data_presence_flagging,completed,2829,evidence_chunking_and_data_presence_flagging completed.
goal_round06_measles_us_2025_q1,12,structured extraction,structured_extraction,completed,502595,structured_extraction completed.
goal_round06_measles_us_2025_q1,13,schema validation,schema_validation_and_repair,completed,272,schema_validation_and_repair completed.
goal_round06_measles_us_2025_q1,14,normalization,record_normalization,completed,276,record_normalization completed.
goal_round06_measles_us_2025_q1,15,record linking,record_linking,completed,147,record_linking completed.
goal_round06_measles_us_2025_q1,16,cross-source consistency,cross_source_consistency_check,completed,190,cross_source_consistency_check completed.
goal_round06_measles_us_2025_q1,17,quality gate routing,quality_gate_routing,completed,130,quality_gate_routing completed.
goal_round06_measles_us_2025_q1,18,human review queue,human_review,pending,,
goal_round06_measles_us_2025_q1,19,post-review application,human_review,pending,,
goal_round06_measles_us_2025_q1,20,final package/report,final_data_package_builder,completed,726,final_data_package_builder completed.
goal_round06_dengue_brazil_2024_q1,01,task scope,task_intake_and_scope_planning,completed,4,task_intake_and_scope_planning completed.
goal_round06_dengue_brazil_2024_q1,02,disease intelligence,disease_intelligence_builder,completed,76147,disease_intelligence_builder completed.
goal_round06_dengue_brazil_2024_q1,03,profile/schema setup,profile_and_schema_setup,completed,4,profile_and_schema_setup completed.
goal_round06_dengue_brazil_2024_q1,04,source planning/query strategy,executable_source_planning;query_strategy_builder,completed;completed,62613;10,executable_source_planning completed. | query_strategy_builder completed.
goal_round06_dengue_brazil_2024_q1,05,source discovery,source_discovery,completed,201406,source_discovery completed.
