anomaly_flags,blocking_flags,dataset_view,final_case_dataset_included,final_dataset_included,final_inclusion_status,human_review_reason,observation_type,original_status,primary_case_dataset_eligible,quality_gate_reasons,quarantine_reason,recommended_reviewer_action,record_id,validation_flags
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",unspecified_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_9d8411eba09d_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",death_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_9d8411eba09d_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",unspecified_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_ee3c4e1dc1cd_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",death_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_ee3c4e1dc1cd_002,
,,final_dataset,False,True,accepted_with_warnings,,ambiguous_public_health_observation,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_5b7e6dfb326c_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_ambiguous_non_primary_observation,,ambiguous_public_health_observation,,False,"[""claim-level corroboration marked this record as not eligible for the primary case dataset"", ""record is a non-primary public-health observation, not an accepted case dataset record"", ""claim-level corroboration classified record as ambiguous_public_health_observation, not a primary confirmed case dataset record"", ""no corroborated primary case event supports this record""]",claim-level corroboration marked this record as not eligible for the primary case dataset,,rec_src_search_5b7e6dfb326c_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",unspecified_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_743df961a25b_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",death_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_743df961a25b_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_b74bccc017c5_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",death_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_b74bccc017c5_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",hospitalization_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_b74bccc017c5_003,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_f0add2a7316b_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",death_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_f0add2a7316b_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_f0add2a7316b_003,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",death_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_f0add2a7316b_004,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",unspecified_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_72af26a33522_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",death_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_72af26a33522_002,
