anomaly_flags,blocking_flags,dataset_view,final_case_dataset_included,final_dataset_included,final_inclusion_status,human_review_reason,observation_type,original_status,primary_case_dataset_eligible,quality_gate_reasons,quarantine_reason,recommended_reviewer_action,record_id,validation_flags
,,final_dataset_pre_quality_gate,False,False,quarantined_zero_case_statement,,zero_case_statement,,False,"[""claim-level corroboration marked this record as not eligible for the primary case dataset"", ""record is a non-primary public-health observation, not an accepted case dataset record"", ""claim-level corroboration classified record as zero_case_statement, not a primary confirmed case dataset record"", ""no corroborated primary case event supports this record""]",claim-level corroboration marked this record as not eligible for the primary case dataset,,rec_src_search_ccc444806280_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,zero_case_statement,,False,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""claim-level corroboration marked this record as not eligible for the primary case dataset"", ""record is a non-primary public-health observation, not an accepted case dataset record"", ""claim-level corroboration classified record as zero_case_statement, not a primary confirmed case dataset record"", ""no corroborated primary case event supports this record""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_ccc444806280_002,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,unspecified_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review""]","task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review",,rec_src_search_a39e4fa28013_001,
,,final_case_dataset,True,True,accepted_with_warnings,,unspecified_case_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_a39e4fa28013_002,
,,final_case_dataset,True,True,accepted_with_review_warning,,unspecified_case_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_a39e4fa28013_003,
,,final_dataset_pre_quality_gate,False,False,quarantined_zero_case_statement,,zero_case_statement,,False,"[""claim-level corroboration marked this record as not eligible for the primary case dataset"", ""record is a non-primary public-health observation, not an accepted case dataset record"", ""claim-level corroboration classified record as zero_case_statement, not a primary confirmed case dataset record"", ""no corroborated primary case event supports this record""]",claim-level corroboration marked this record as not eligible for the primary case dataset,,rec_src_search_a39e4fa28013_004,
,,final_dataset_pre_quality_gate,False,False,quarantined_zero_case_statement,,zero_case_statement,,False,"[""claim-level corroboration marked this record as not eligible for the primary case dataset"", ""record is a non-primary public-health observation, not an accepted case dataset record"", ""claim-level corroboration classified record as zero_case_statement, not a primary confirmed case dataset record"", ""no corroborated primary case event supports this record""]",claim-level corroboration marked this record as not eligible for the primary case dataset,,rec_src_search_a39e4fa28013_005,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",unspecified_case_record,,True,"[""task-window direct_collection final records require exact current-period semantics; season-to-date, cumulative, annual, previous-period, or broader EW-range records are kept as best-available context or human review"", ""outside_geography"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_0d4e7ec87258_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",death_record,,True,"[""outside_geography"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_0d4e7ec87258_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",death_record,,True,"[""outside_geography;outside_time_window"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_0d4e7ec87258_003,
