apply_decision,decided_at,decision_id,decision_type,evidence_quote,issue_category,notes,priority_level,reason,review_id,reviewer_id,short_title,source_url,target_ids,target_type
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_linking_event_003,accept_as_is,##### Human Cases **Year-to-date:** 5 **Counties:** 3,primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_linking_event_003,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_linking_event_003 - Westnile.ca.gov | California West Nile Virus Website,https://westnile.ca.gov/resources.php,rec_src_search_14d0fc5d0793_001; rec_src_search_14d0fc5d0793_002,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_linking_event_004,accept_as_is,July 26 –[First West Nile Death Since 2006 Reported in Contra Costa County](https://contracosta.news/2024/07/26/first-west-nile-death-since-2006-reported-in-contra-costa-county/),primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_linking_event_004,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_linking_event_004 - California Tracking Increase in Diseases Spread by Mosquitoes,https://contracosta.news/2024/10/01/california-tracking-increase-in-diseases-spread-by-mosquitoes,rec_src_search_071605a69e2e_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_linking_event_008,accept_as_is,# First West Nile Virus Death of 2024 Reported in LA County - Public Health Urges Residents to Take Action to Prevent the Spread of Mosquito-Borne Diseases,primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_linking_event_008,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_linking_event_008 - LISTING OF DEPARTMENT OF PUBLIC HEALTH PRESS RELEASES,http://ph.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=4833,rec_src_search_5c954f0581ec_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_linking_event_009,accept_as_is,"The highest number of cases was in Orange County (263 cases) and the highest incidence occurred in Glenn County (35.3 cases per 100,000 population).",primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_linking_event_009,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_linking_event_009 - California Sets Record for West Nile Virus Activity - CDPH,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-027.aspx,rec_src_search_ba887a60c89b_002,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_normalization_rec_src_search_071605a69e2e_001,accept_as_is,July 26 –[First West Nile Death Since 2006 Reported in Contra Costa County](https://contracosta.news/2024/07/26/first-west-nile-death-since-2006-reported-in-contra-costa-county/),primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_normalization_rec_src_search_071605a69e2e_001,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_normalization_rec_src_search_071605a69e2e_001 - California Tracking Increase in Diseases Spread by...,https://contracosta.news/2024/10/01/california-tracking-increase-in-diseases-spread-by-mosquitoes,rec_src_search_071605a69e2e_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_normalization_rec_src_search_14d0fc5d0793_001,accept_as_is,##### Human Cases **Year-to-date:** 5 **Counties:** 3,primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_normalization_rec_src_search_14d0fc5d0793_001,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_normalization_rec_src_search_14d0fc5d0793_001 - Westnile.ca.gov | California West Nile Virus Website,https://westnile.ca.gov/resources.php,rec_src_search_14d0fc5d0793_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_normalization_rec_src_search_5c954f0581ec_001,accept_as_is,# First West Nile Virus Death of 2024 Reported in LA County - Public Health Urges Residents to Take Action to Prevent the Spread of Mosquito-Borne Diseases,primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_normalization_rec_src_search_5c954f0581ec_001,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_normalization_rec_src_search_5c954f0581ec_001 - LISTING OF DEPARTMENT OF PUBLIC HEALTH PRESS RELEASES,http://ph.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=4833,rec_src_search_5c954f0581ec_001,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_normalization_rec_src_search_ba887a60c89b_002,accept_as_is,"The highest number of cases was in Orange County (263 cases) and the highest incidence occurred in Glenn County (35.3 cases per 100,000 population).",primary_case_dataset_blocker,Does this evidence support a task-compatible primary case record?,P0_critical,Review required: primary_case_dataset_blocker,review_normalization_rec_src_search_ba887a60c89b_002,REPLACE_WITH_REVIEWER_ID,primary case dataset blocker - review_normalization_rec_src_search_ba887a60c89b_002 - California Sets Record for West Nile Virus Activity...,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-027.aspx,rec_src_search_ba887a60c89b_002,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_claim_corroboration_conflict_corr_event_005,needs_more_evidence,Comparable public-health claims conflict and require review.,conflicting_claims_review,Which claim should be treated as comparable evidence after review?,P0_critical,Review required: conflicting_claims_review,review_claim_corroboration_conflict_corr_event_005,REPLACE_WITH_REVIEWER_ID,conflicting claims review - review_claim_corroboration_conflict_corr_event_005 - California Sets Record for West Nile Virus Activity - CDPH,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-027.aspx,claim_rec_src_search_ba887a60c89b_001_cases_unspecified; claim_rec_src_search_ba887a60c89b_004_deaths; claim_rec_src_search_14d0fc5d0793_001_cases_unspecified; claim_rec_src_search_14d0fc5d0793_002_deaths; src_search_ba887a60c89b; src_search_14d0fc5d0793; corr_event_005,claim
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_002,accept_as_is,"California had the second-highest number of human cases of West Nile virus (WNV) in 2014 since the virus first invaded California in 2003. In 2014, California recorded 801 cases of the potentially fatal disease. In 2005, CDPH detected 880 cases of WNV.",validation_conflict_review,"What decision, if any, should a human reviewer record?",P0_critical,Review required: validation_conflict_review,review_duplicate_event_002,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_duplicate_event_002 - California Sets Record for West Nile Virus Activity - CDPH,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-027.aspx,rec_src_search_ba887a60c89b_001; rec_src_search_ba887a60c89b_004; event_002,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_duplicate_event_003,accept_as_is,##### Human Cases **Year-to-date:** 5 **Counties:** 3,validation_conflict_review,"What decision, if any, should a human reviewer record?",P0_critical,Review required: validation_conflict_review,review_duplicate_event_003,REPLACE_WITH_REVIEWER_ID,validation conflict review - review_duplicate_event_003 - Westnile.ca.gov | California West Nile Virus Website,https://westnile.ca.gov/resources.php,rec_src_search_14d0fc5d0793_001; rec_src_search_14d0fc5d0793_002; event_003,record
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_008,accept_anomaly,"There have been 289 human West Nile virus disease cases in 2024, according to the [CDC](https://www.cdc.gov/west-nile-virus/data-maps/current-year-data.html).",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_008,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_008 - Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesse...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,src_search_0d4e7ec87258; event_001; anom_008; val_result_002,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_009,accept_anomaly,"Earlier this week, health officials in Illinois announced the first death in the state from West Nile virus after a Lake County resident in their 80s had an onset of symptoms in mid-August and died soon after.",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_009,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_009 - Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesse...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,src_search_0d4e7ec87258; event_007; anom_009; val_result_003,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_010,accept_anomaly,There were six West Nile virus deaths recorded in Illinois in 2023.,claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_010,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_010 - Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesse...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,src_search_0d4e7ec87258; event_006; anom_010; val_result_004,anomaly
False,REPLACE_WITH_ISO_TIMESTAMP,prefill_review_anomaly_anom_011,accept_anomaly,"An average of 18 cases of illness from West Nile virus are reported in Wisconsin every year, according to DHS officials.",claim_corroboration_review,"Is the claim independently corroborated, conflicting, or only single-source evidence?",P0_critical,Review required: claim_corroboration_review,review_anomaly_anom_011,REPLACE_WITH_REVIEWER_ID,claim corroboration review - review_anomaly_anom_011 - Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesse...,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,src_search_0d4e7ec87258; event_011; anom_011; val_result_005,anomaly
