actual_publishers,canonical_count_value,conflicting_claim_ids,corroborated_event_id,corroboration_confidence,corroboration_reason,corroboration_status,count_field,count_semantics,country,date_or_period,disease,event_cluster_id,human_review_reason,independent_source_count,locality,needs_human_review,observation_type,official_source_support_count,primary_case_dataset_eligible,primary_claim_id,publishers,secondary_source_support_count,source_ids,source_independence_groups,source_urls,statistical_count_type,subnational_location,supporting_claim_ids,unverified_claim_ids,warnings
[],762.0,[],corr_event_001,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,case_count,United States of America,2025-08-12,Measles,event_016,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,1,False,claim_rec_src_search_3e232b5b243d_001_cases_confirmed,[],0,"[""src_search_3e232b5b243d""]","[""domain:dshs_texas_gov""]","[""https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025""]",cumulative,Texas,"[""claim_rec_src_search_3e232b5b243d_001_cases_confirmed""]","[""claim_rec_src_search_3e232b5b243d_001_cases_confirmed""]","[""single_source_unverified""]"
"[""Centers for Disease Control and Prevention""]",2000.0,"[""claim_rec_src_search_5155d9022c8b_001_cases_unspecified"", ""claim_rec_src_search_b285c8bbed4b_001_cases_unspecified"", ""claim_rec_src_search_cd5fb2750261_001_cases_confirmed"", ""claim_rec_src_search_cd5fb2750261_002_cases_confirmed"", ""claim_rec_src_search_3109afb35d90_001_cases_confirmed"", ""claim_rec_src_search_3109afb35d90_002_cases_unspecified"", ""claim_rec_src_search_3109afb35d90_003_cases_unspecified"", ""claim_rec_src_search_3109afb35d90_004_cases_unspecified"", ""claim_rec_src_search_831265159816_045_cases_unspecified""]",corr_event_002,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_unspecified,case_count,United States of America,2025-03-31,Measles,event_002,Comparable public-health claims conflict and require review.,5,,True,unspecified_case_record,7,False,claim_rec_src_search_5155d9022c8b_001_cases_unspecified,"[""Centers for Disease Control and Prevention""]",2,"[""src_search_5155d9022c8b"", ""src_search_b285c8bbed4b"", ""src_search_cd5fb2750261"", ""src_search_3109afb35d90"", ""src_search_831265159816""]","[""domain:abc7_com"", ""domain:privatehealth_com"", ""domain:forbes_com"", ""publisher:centers_for_disease_control_and_prevention"", ""domain:respiratory_therapy_com""]","[""https://abc7.com/post/2k-measles-cases-reported-us-2025-ongoing-outbreaks-threaten-elimination-status/18339323"", ""https://privatehealth.com/measles-cases-surge-in-2025-key-facts-and-prevention-tips"", ""https://www.forbes.com/sites/antoniopequenoiv/2026/01/30/measles-cases-this-year-are-outpacing-2025---the-worst-recent-year-on-record"", ""https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm"", ""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",cumulative,,[],[],"[""conflicting_claims""]"
[],350.0,[],corr_event_003,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2025-03-31,Measles,event_045,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,0,False,claim_rec_src_search_5155d9022c8b_002_cases_unspecified,[],1,"[""src_search_5155d9022c8b""]","[""domain:abc7_com""]","[""https://abc7.com/post/2k-measles-cases-reported-us-2025-ongoing-outbreaks-threaten-elimination-status/18339323""]",cumulative,Utah; Arizona,"[""claim_rec_src_search_5155d9022c8b_002_cases_unspecified""]","[""claim_rec_src_search_5155d9022c8b_002_cases_unspecified""]","[""single_source_unverified""]"
"[""Pan American Health Organization""]",14503.0,[],corr_event_004,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,case_count,United States of America,2025-03-31,Measles,event_001,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,3,False,claim_rec_src_search_8242cbb785a1_001_cases_confirmed,"[""Pan American Health Organization""]",0,"[""src_search_8242cbb785a1""]","[""publisher:pan_american_health_organization""]","[""https://www.paho.org/en/documents/situation-report-2-measles-americas-region""]",annual,,"[""claim_rec_src_search_8242cbb785a1_001_cases_confirmed"", ""claim_rec_src_search_8242cbb785a1_001_deaths"", ""claim_rec_src_search_8242cbb785a1_002_deaths""]","[""claim_rec_src_search_8242cbb785a1_001_cases_confirmed"", ""claim_rec_src_search_8242cbb785a1_001_deaths"", ""claim_rec_src_search_8242cbb785a1_002_deaths""]","[""single_source_unverified""]"
"[""Pan American Health Organization""]",14503.0,[],corr_event_005,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2025-03-31,Measles,event_048,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,3,False,claim_rec_src_search_6e578fc529e9_001_cases_unspecified,"[""Pan American Health Organization""]",0,"[""src_search_6e578fc529e9""]","[""publisher:pan_american_health_organization""]","[""https://www.paho.org/en/documents/situation-report-1-measles-americas-region""]",annual,,"[""claim_rec_src_search_6e578fc529e9_001_cases_unspecified"", ""claim_rec_src_search_6e578fc529e9_001_deaths"", ""claim_rec_src_search_6e578fc529e9_002_cases_confirmed""]","[""claim_rec_src_search_6e578fc529e9_001_cases_unspecified"", ""claim_rec_src_search_6e578fc529e9_001_deaths"", ""claim_rec_src_search_6e578fc529e9_002_cases_confirmed""]","[""single_source_unverified""]"
"[""Pan American Health Organization""]",1664.0,[],corr_event_006,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2025-03-31,Measles,event_050,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_6e578fc529e9_003_cases_unspecified,"[""Pan American Health Organization""]",0,"[""src_search_6e578fc529e9""]","[""publisher:pan_american_health_organization""]","[""https://www.paho.org/en/documents/situation-report-1-measles-americas-region""]",cumulative,,"[""claim_rec_src_search_6e578fc529e9_003_cases_unspecified""]","[""claim_rec_src_search_6e578fc529e9_003_cases_unspecified""]","[""single_source_unverified""]"
"[""Centers for Disease Control and Prevention""]",,[],corr_event_007,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,,cumulative,United States of America,2025-03-31,Measles,event_053,Primary case claim has no independent corroborating source.,1,,True,ambiguous_public_health_observation,6,False,claim_rec_src_search_4e73f2d0f38f_001_observation,"[""Centers for Disease Control and Prevention""]",0,"[""src_search_4e73f2d0f38f""]","[""publisher:centers_for_disease_control_and_prevention""]","[""https://www.cdc.gov/mmwr/volumes/75/wr/mm7520a1.htm""]",cumulative,West Texas,"[""claim_rec_src_search_4e73f2d0f38f_001_observation"", ""claim_rec_src_search_4e73f2d0f38f_002_observation"", ""claim_rec_src_search_4e73f2d0f38f_003_deaths"", ""claim_rec_src_search_4e73f2d0f38f_004_observation"", ""claim_rec_src_search_4e73f2d0f38f_005_observation"", ""claim_rec_src_search_4e73f2d0f38f_006_observation""]","[""claim_rec_src_search_4e73f2d0f38f_001_observation"", ""claim_rec_src_search_4e73f2d0f38f_002_observation"", ""claim_rec_src_search_4e73f2d0f38f_003_deaths"", ""claim_rec_src_search_4e73f2d0f38f_004_observation"", ""claim_rec_src_search_4e73f2d0f38f_005_observation"", ""claim_rec_src_search_4e73f2d0f38f_006_observation""]","[""single_source_unverified""]"
"[""Centers for Disease Control and Prevention""]",,[],corr_event_008,0.7,Claim group classified as insufficient_information.,insufficient_information,,unspecified,United States of America,2025-03-31,Measles,event_041,,1,,False,ambiguous_public_health_observation,1,False,claim_rec_src_search_9d3a148dc974_001_observation,"[""Centers for Disease Control and Prevention""]",0,"[""src_search_9d3a148dc974""]","[""publisher:centers_for_disease_control_and_prevention""]","[""https://www.cdc.gov/mmwr/volumes/75/wr/mm7521a1.htm""]",,Texas,"[""claim_rec_src_search_9d3a148dc974_001_observation""]",[],[]
[],762.0,[],corr_event_009,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2025-03-31,Measles,event_024,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,48,False,claim_rec_src_search_831265159816_001_cases_unspecified,[],0,"[""src_search_831265159816""]","[""domain:respiratory_therapy_com""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",cumulative,Texas,"[""claim_rec_src_search_831265159816_001_cases_unspecified"", ""claim_rec_src_search_831265159816_001_deaths"", ""claim_rec_src_search_831265159816_001_hospitalizations"", ""claim_rec_src_search_831265159816_002_cases_unspecified"", ""claim_rec_src_search_831265159816_002_hospitalizations"", ""claim_rec_src_search_831265159816_003_observation"", ""claim_rec_src_search_831265159816_004_cases_confirmed"", ""claim_rec_src_search_831265159816_005_hospitalizations"", ""claim_rec_src_search_831265159816_006_cases_confirmed"", ""claim_rec_src_search_831265159816_007_cases_confirmed"", ""claim_rec_src_search_831265159816_008_cases_confirmed"", ""claim_rec_src_search_831265159816_009_hospitalizations"", ""claim_rec_src_search_831265159816_010_hospitalizations"", ""claim_rec_src_search_831265159816_011_deaths"", ""claim_rec_src_search_831265159816_013_cases_confirmed"", ""claim_rec_src_search_831265159816_013_hospitalizations"", ""claim_rec_src_search_831265159816_014_hospitalizations"", ""claim_rec_src_search_831265159816_015_cases_unspecified"", ""claim_rec_src_search_831265159816_016_observation"", ""claim_rec_src_search_831265159816_017_hospitalizations"", ""claim_rec_src_search_831265159816_018_deaths"", ""claim_rec_src_search_831265159816_019_hospitalizations"", ""claim_rec_src_search_831265159816_021_cases_unspecified"", ""claim_rec_src_search_831265159816_022_observation"", ""claim_rec_src_search_831265159816_023_cases_unspecified"", ""claim_rec_src_search_831265159816_023_hospitalizations"", ""claim_rec_src_search_831265159816_024_hospitalizations"", ""claim_rec_src_search_831265159816_025_cases_unspecified"", ""claim_rec_src_search_831265159816_026_cases_confirmed"", ""claim_rec_src_search_831265159816_027_hospitalizations"", ""claim_rec_src_search_831265159816_028_deaths"", ""claim_rec_src_search_831265159816_029_hospitalizations"", ""claim_rec_src_search_831265159816_030_observation"", ""claim_rec_src_search_831265159816_031_observation"", ""claim_rec_src_search_831265159816_032_observation"", ""claim_rec_src_search_831265159816_035_cases_unspecified"", ""claim_rec_src_search_831265159816_035_deaths"", ""claim_rec_src_search_831265159816_035_hospitalizations"", ""claim_rec_src_search_831265159816_036_hospitalizations"", ""claim_rec_src_search_831265159816_037_cases_unspecified"", ""claim_rec_src_search_831265159816_038_observation"", ""claim_rec_src_search_831265159816_039_cases_confirmed"", ""claim_rec_src_search_831265159816_040_cases_unspecified"", ""claim_rec_src_search_831265159816_046_cases_unspecified"", ""claim_rec_src_search_831265159816_046_hospitalizations"", ""claim_rec_src_search_831265159816_047_hospitalizations"", ""claim_rec_src_search_831265159816_048_cases_unspecified"", ""claim_rec_src_search_831265159816_049_cases_confirmed""]","[""claim_rec_src_search_831265159816_001_cases_unspecified"", ""claim_rec_src_search_831265159816_001_deaths"", ""claim_rec_src_search_831265159816_001_hospitalizations"", ""claim_rec_src_search_831265159816_002_cases_unspecified"", ""claim_rec_src_search_831265159816_002_hospitalizations"", ""claim_rec_src_search_831265159816_003_observation"", ""claim_rec_src_search_831265159816_004_cases_confirmed"", ""claim_rec_src_search_831265159816_005_hospitalizations"", ""claim_rec_src_search_831265159816_006_cases_confirmed"", ""claim_rec_src_search_831265159816_007_cases_confirmed"", ""claim_rec_src_search_831265159816_008_cases_confirmed"", ""claim_rec_src_search_831265159816_009_hospitalizations"", ""claim_rec_src_search_831265159816_010_hospitalizations"", ""claim_rec_src_search_831265159816_011_deaths"", ""claim_rec_src_search_831265159816_013_cases_confirmed"", ""claim_rec_src_search_831265159816_013_hospitalizations"", ""claim_rec_src_search_831265159816_014_hospitalizations"", ""claim_rec_src_search_831265159816_015_cases_unspecified"", ""claim_rec_src_search_831265159816_016_observation"", ""claim_rec_src_search_831265159816_017_hospitalizations"", ""claim_rec_src_search_831265159816_018_deaths"", ""claim_rec_src_search_831265159816_019_hospitalizations"", ""claim_rec_src_search_831265159816_021_cases_unspecified"", ""claim_rec_src_search_831265159816_022_observation"", ""claim_rec_src_search_831265159816_023_cases_unspecified"", ""claim_rec_src_search_831265159816_023_hospitalizations"", ""claim_rec_src_search_831265159816_024_hospitalizations"", ""claim_rec_src_search_831265159816_025_cases_unspecified"", ""claim_rec_src_search_831265159816_026_cases_confirmed"", ""claim_rec_src_search_831265159816_027_hospitalizations"", ""claim_rec_src_search_831265159816_028_deaths"", ""claim_rec_src_search_831265159816_029_hospitalizations"", ""claim_rec_src_search_831265159816_030_observation"", ""claim_rec_src_search_831265159816_031_observation"", ""claim_rec_src_search_831265159816_032_observation"", ""claim_rec_src_search_831265159816_035_cases_unspecified"", ""claim_rec_src_search_831265159816_035_deaths"", ""claim_rec_src_search_831265159816_035_hospitalizations"", ""claim_rec_src_search_831265159816_036_hospitalizations"", ""claim_rec_src_search_831265159816_037_cases_unspecified"", ""claim_rec_src_search_831265159816_038_observation"", ""claim_rec_src_search_831265159816_039_cases_confirmed"", ""claim_rec_src_search_831265159816_040_cases_unspecified"", ""claim_rec_src_search_831265159816_046_cases_unspecified"", ""claim_rec_src_search_831265159816_046_hospitalizations"", ""claim_rec_src_search_831265159816_047_hospitalizations"", ""claim_rec_src_search_831265159816_048_cases_unspecified"", ""claim_rec_src_search_831265159816_049_cases_confirmed""]","[""single_source_unverified""]"
[],393.0,[],corr_event_010,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,cumulative,United States of America,2025-03-31,Measles,event_013,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,1,False,claim_rec_src_search_831265159816_012_cases_confirmed,[],0,"[""src_search_831265159816""]","[""domain:respiratory_therapy_com""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",cumulative,Texas — Gaines County,"[""claim_rec_src_search_831265159816_012_cases_confirmed""]","[""claim_rec_src_search_831265159816_012_cases_confirmed""]","[""single_source_unverified""]"
