actual_publishers,canonical_count_value,conflicting_claim_ids,corroborated_event_id,corroboration_confidence,corroboration_reason,corroboration_status,count_field,count_semantics,country,date_or_period,disease,event_cluster_id,human_review_reason,independent_source_count,locality,needs_human_review,observation_type,official_source_support_count,primary_case_dataset_eligible,primary_claim_id,publishers,secondary_source_support_count,source_ids,source_independence_groups,source_urls,statistical_count_type,subnational_location,supporting_claim_ids,unverified_claim_ids,warnings
[],159.0,"[""claim_rec_src_search_87bd434eacdf_001_cases_unspecified"", ""claim_rec_src_search_87bd434eacdf_003_hospitalizations"", ""claim_rec_src_search_da86b7826545_001_cases_unspecified"", ""claim_rec_src_search_da86b7826545_005_cases_unspecified"", ""claim_rec_src_search_da86b7826545_001_hospitalizations""]",corr_event_001,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_unspecified,case_count,United States of America,2025-03-04,Measles,event_028,Comparable public-health claims conflict and require review.,2,,True,unspecified_case_record,7,False,claim_rec_src_search_87bd434eacdf_001_cases_unspecified,[],0,"[""src_search_87bd434eacdf"", ""src_search_da86b7826545""]","[""domain:lubbockonline_com"", ""domain:pbs_org""]","[""https://www.lubbockonline.com/story/news/local/2025/03/04/texas-measles-in-gaines-county-surpass-100-cases-officials-urge-caution-as-state-hits-159-cases/81218510007"", ""https://www.pbs.org/newshour/health/texas-measles-outbreak-tops-500-cases-across-10-counties""]",cumulative,Texas,"[""claim_rec_src_search_87bd434eacdf_005_cases_unspecified"", ""claim_rec_src_search_da86b7826545_001_deaths""]",[],"[""conflicting_claims""]"
[],100.0,[],corr_event_002,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2025-03-04,Measles,event_025,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_87bd434eacdf_002_cases_unspecified,[],0,"[""src_search_87bd434eacdf""]","[""domain:lubbockonline_com""]","[""https://www.lubbockonline.com/story/news/local/2025/03/04/texas-measles-in-gaines-county-surpass-100-cases-officials-urge-caution-as-state-hits-159-cases/81218510007""]",cumulative,"Texas, Gaines County","[""claim_rec_src_search_87bd434eacdf_002_cases_unspecified""]","[""claim_rec_src_search_87bd434eacdf_002_cases_unspecified""]","[""single_source_unverified""]"
[],9.0,[],corr_event_003,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2025-03-04,Measles,event_021,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_87bd434eacdf_004_cases_unspecified,[],0,"[""src_search_87bd434eacdf""]","[""domain:lubbockonline_com""]","[""https://www.lubbockonline.com/story/news/local/2025/03/04/texas-measles-in-gaines-county-surpass-100-cases-officials-urge-caution-as-state-hits-159-cases/81218510007""]",cumulative,"New Mexico, Lea County","[""claim_rec_src_search_87bd434eacdf_004_cases_unspecified""]","[""claim_rec_src_search_87bd434eacdf_004_cases_unspecified""]","[""single_source_unverified""]"
[],762.0,[],corr_event_004,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,case_count,United States of America,2025-08-12,Measles,event_027,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,2,False,claim_rec_src_search_3e232b5b243d_001_cases_confirmed,[],0,"[""src_search_3e232b5b243d""]","[""domain:dshs_texas_gov""]","[""https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025""]",cumulative,Texas,"[""claim_rec_src_search_3e232b5b243d_001_cases_confirmed"", ""claim_rec_src_search_3e232b5b243d_002_deaths""]","[""claim_rec_src_search_3e232b5b243d_001_cases_confirmed"", ""claim_rec_src_search_3e232b5b243d_002_deaths""]","[""single_source_unverified""]"
"[""Pan American Health Organization"", ""Centers for Disease Control and Prevention""]",2000.0,"[""claim_rec_src_search_3f4cf9d46ec9_001_cases_unspecified"", ""claim_rec_src_search_8242cbb785a1_001_cases_confirmed"", ""claim_rec_src_search_cd5fb2750261_001_cases_confirmed"", ""claim_rec_src_search_cd5fb2750261_002_cases_confirmed"", ""claim_rec_src_search_d1d6036be2f6_001_cases_unspecified"", ""claim_rec_src_search_d1d6036be2f6_002_cases_unspecified"", ""claim_rec_src_search_d1d6036be2f6_004_cases_confirmed"", ""claim_rec_src_search_d1d6036be2f6_004_deaths"", ""claim_rec_src_search_3109afb35d90_001_cases_confirmed"", ""claim_rec_src_search_3109afb35d90_002_cases_unspecified"", ""claim_rec_src_search_3109afb35d90_003_cases_unspecified"", ""claim_rec_src_search_3109afb35d90_004_cases_unspecified"", ""claim_rec_src_search_283a8bed6a9d_001_cases_confirmed"", ""claim_rec_src_search_283a8bed6a9d_002_cases_confirmed"", ""claim_rec_src_search_283a8bed6a9d_005_cases_unspecified"", ""claim_rec_src_search_283a8bed6a9d_007_cases_unspecified"", ""claim_rec_src_search_283a8bed6a9d_009_cases_unspecified"", ""claim_rec_src_search_283a8bed6a9d_010_cases_unspecified"", ""claim_rec_src_search_283a8bed6a9d_011_cases_unspecified"", ""claim_rec_src_search_283a8bed6a9d_015_cases_unspecified"", ""claim_rec_src_search_7cb311dd75e6_001_cases_confirmed"", ""claim_rec_src_search_283a8bed6a9d_016_deaths""]",corr_event_005,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_unspecified,case_count,United States of America,2025-03-31,Measles,event_003,Comparable public-health claims conflict and require review.,6,,True,unspecified_case_record,24,False,claim_rec_src_search_3f4cf9d46ec9_001_cases_unspecified,"[""Pan American Health Organization"", ""Centers for Disease Control and Prevention""]",10,"[""src_search_3f4cf9d46ec9"", ""src_search_8242cbb785a1"", ""src_search_cd5fb2750261"", ""src_search_d1d6036be2f6"", ""src_search_3109afb35d90"", ""src_search_283a8bed6a9d"", ""src_search_7cb311dd75e6""]","[""domain:abc7news_com"", ""publisher:pan_american_health_organization"", ""domain:forbes_com"", ""publisher:cidrap"", ""publisher:centers_for_disease_control_and_prevention"", ""domain:publichealth_jhu_edu""]","[""https://abc7news.com/post/2k-measles-cases-reported-us-2025-ongoing-outbreaks-threaten-elimination-status/18339323"", ""https://www.paho.org/en/documents/situation-report-2-measles-americas-region"", ""https://www.forbes.com/sites/antoniopequenoiv/2026/01/30/measles-cases-this-year-are-outpacing-2025---the-worst-recent-year-on-record"", ""https://www.cidrap.umn.edu/measles/cdc-confirms-23-more-us-measles-cases-2025-total-tops-1500"", ""https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm"", ""https://www.cdc.gov/measles/data-research/index.html"", ""https://publichealth.jhu.edu/ivac/resources/us-measles-tracker""]",cumulative,,"[""claim_rec_src_search_3f4cf9d46ec9_003_observation"", ""claim_rec_src_search_d1d6036be2f6_003_observation"", ""claim_rec_src_search_d1d6036be2f6_005_observation"", ""claim_rec_src_search_283a8bed6a9d_003_observation"", ""claim_rec_src_search_283a8bed6a9d_004_observation"", ""claim_rec_src_search_283a8bed6a9d_006_observation"", ""claim_rec_src_search_283a8bed6a9d_008_observation"", ""claim_rec_src_search_283a8bed6a9d_011_hospitalizations"", ""claim_rec_src_search_283a8bed6a9d_012_hospitalizations"", ""claim_rec_src_search_283a8bed6a9d_013_hospitalizations"", ""claim_rec_src_search_283a8bed6a9d_014_hospitalizations"", ""claim_rec_src_search_283a8bed6a9d_017_deaths""]",[],"[""conflicting_claims""]"
[],350.0,[],corr_event_006,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2025-03-31,Measles,event_031,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,0,False,claim_rec_src_search_3f4cf9d46ec9_002_cases_unspecified,[],1,"[""src_search_3f4cf9d46ec9""]","[""domain:abc7news_com""]","[""https://abc7news.com/post/2k-measles-cases-reported-us-2025-ongoing-outbreaks-threaten-elimination-status/18339323""]",cumulative,Utah; Arizona,"[""claim_rec_src_search_3f4cf9d46ec9_002_cases_unspecified""]","[""claim_rec_src_search_3f4cf9d46ec9_002_cases_unspecified""]","[""single_source_unverified""]"
[],328.0,[],corr_event_007,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2025-03-31,Measles,event_022,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_da86b7826545_002_cases_unspecified,[],0,"[""src_search_da86b7826545""]","[""domain:pbs_org""]","[""https://www.pbs.org/newshour/health/texas-measles-outbreak-tops-500-cases-across-10-counties""]",cumulative,Texas — Gaines County,"[""claim_rec_src_search_da86b7826545_002_cases_unspecified""]","[""claim_rec_src_search_da86b7826545_002_cases_unspecified""]","[""single_source_unverified""]"
[],46.0,[],corr_event_008,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2025-03-31,Measles,event_024,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_da86b7826545_003_cases_unspecified,[],0,"[""src_search_da86b7826545""]","[""domain:pbs_org""]","[""https://www.pbs.org/newshour/health/texas-measles-outbreak-tops-500-cases-across-10-counties""]",cumulative,Texas — Terry County,"[""claim_rec_src_search_da86b7826545_003_cases_unspecified""]","[""claim_rec_src_search_da86b7826545_003_cases_unspecified""]","[""single_source_unverified""]"
[],36.0,[],corr_event_009,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2025-03-31,Measles,event_023,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_da86b7826545_004_cases_unspecified,[],0,"[""src_search_da86b7826545""]","[""domain:pbs_org""]","[""https://www.pbs.org/newshour/health/texas-measles-outbreak-tops-500-cases-across-10-counties""]",cumulative,Texas — Lubbock County,"[""claim_rec_src_search_da86b7826545_004_cases_unspecified""]","[""claim_rec_src_search_da86b7826545_004_cases_unspecified""]","[""single_source_unverified""]"
"[""Pan American Health Organization""]",14503.0,[],corr_event_010,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,case_count,United States of America,2025-03-31,Measles,event_008,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,6,False,claim_rec_src_search_8242cbb785a1_002_cases_confirmed,"[""Pan American Health Organization""]",0,"[""src_search_8242cbb785a1""]","[""publisher:pan_american_health_organization""]","[""https://www.paho.org/en/documents/situation-report-2-measles-americas-region""]",annual,,"[""claim_rec_src_search_8242cbb785a1_002_cases_confirmed"", ""claim_rec_src_search_8242cbb785a1_002_deaths"", ""claim_rec_src_search_8242cbb785a1_003_cases_confirmed"", ""claim_rec_src_search_8242cbb785a1_003_deaths"", ""claim_rec_src_search_8242cbb785a1_004_cases_confirmed"", ""claim_rec_src_search_8242cbb785a1_004_deaths""]","[""claim_rec_src_search_8242cbb785a1_002_cases_confirmed"", ""claim_rec_src_search_8242cbb785a1_002_deaths"", ""claim_rec_src_search_8242cbb785a1_003_cases_confirmed"", ""claim_rec_src_search_8242cbb785a1_003_deaths"", ""claim_rec_src_search_8242cbb785a1_004_cases_confirmed"", ""claim_rec_src_search_8242cbb785a1_004_deaths""]","[""single_source_unverified""]"
