anomaly_flags,blocking_flags,dataset_view,final_case_dataset_included,final_dataset_included,final_inclusion_status,human_review_reason,observation_type,original_status,primary_case_dataset_eligible,quality_gate_reasons,quarantine_reason,recommended_reviewer_action,record_id,validation_flags
,,final_case_dataset,True,True,accepted_with_warnings,,unspecified_case_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_6ec6e3fd8adc_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,unspecified_case_record,,True,"[""record as-of date 2024-11-26 is outside requested task window 2024-05-01 to 2024-07-31""]",record as-of date 2024-11-26 is outside requested task window 2024-05-01 to 2024-07-31,,rec_src_search_fe091021a27e_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,unspecified_case_record,,True,"[""record as-of date 2024-11-26 is outside requested task window 2024-05-01 to 2024-07-31""]",record as-of date 2024-11-26 is outside requested task window 2024-05-01 to 2024-07-31,,rec_src_search_fe091021a27e_002,
,,final_case_dataset,True,True,accepted_with_warnings,,unspecified_case_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_33733b13ba13_001,
,,final_case_dataset,True,True,accepted_with_warnings,,hospitalization_record,,True,"[""record passed deterministic run quality gates""]",,,rec_src_search_33733b13ba13_002,
,,final_dataset,False,True,accepted_with_warnings,,death_record,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_33733b13ba13_003,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",unspecified_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_95a418d2f831_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",hospitalization_record,,True,"[""source_role_final=excluded"", ""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8207a084046e_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8fb76173fa13_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8fb76173fa13_002,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8fb76173fa13_003,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8fb76173fa13_004,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8fb76173fa13_005,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",confirmed_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_8fb76173fa13_006,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,unspecified_case_record,,True,"[""record as-of date 2025-01-08 is outside requested task window 2024-05-01 to 2024-07-31""]",record as-of date 2025-01-08 is outside requested task window 2024-05-01 to 2024-07-31,,rec_src_search_793a8dd9911b_001,
,,final_dataset_pre_quality_gate,False,False,quarantined_outside_scope,,hospitalization_record,,True,"[""record as-of date 2025-01-08 is outside requested task window 2024-05-01 to 2024-07-31""]",record as-of date 2025-01-08 is outside requested task window 2024-05-01 to 2024-07-31,,rec_src_search_793a8dd9911b_002,
,,final_dataset,False,True,accepted_with_warnings,,death_record,,False,"[""record passed deterministic run quality gates""]",,,rec_src_search_793a8dd9911b_003,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",unspecified_case_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_f06158a1a260_001,
,,final_dataset_pre_quality_gate,False,False,pending_human_review,"record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",hospitalization_record,,True,"[""record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review""]","record contains task-compatible public-health data, but the source is not trusted enough for strict final inclusion without human review",,rec_src_search_f06158a1a260_002,
