actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,needs_more_evidence; defer_decision,2024-08-01-2024-08-31,West Nile virus,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,California,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - [PDF] WEEKLY UPDATE - California West Nile Virus,[PDF] WEEKLY UPDATE - California West Nile Virus,https://westnile.ca.gov/download?download_id=4980,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_a39e4fa28013_011_observation; claim_rec_src_search_a39e4fa28013_012_observation; claim_rec_src_search_a666cd39412c_001_cases_unspecified; claim_rec_src_search_ccc444806280_001_cases_unspecified; claim_rec_src_search_ccc444806280_002_cases_unspecified; claim_rec_src_search_b9348b953aaa_001_cases_unspecified; claim_rec_src_search_b9348b953aaa_004_cases_unspecified; claim_rec_src_search_b9348b953aaa_005_cases_unspecified; claim_rec_src_search_b9348b953aaa_006_deaths; claim_rec_src_search_b9348b953aaa_007_cases_unspecified; claim_rec_src_search_b9348b953aaa_008_cases_unspecified; claim_rec_src_search_b9348b953aaa_009_cases_unspecified; claim_rec_src_search_a39e4fa28013_001_cases_unspecified; claim_rec_src_search_a39e4fa28013_006_cases_unspecified; claim_rec_src_search_a39e4fa28013_007_cases_unspecified; claim_rec_src_search_a39e4fa28013_008_deaths; claim_rec_src_search_a39e4fa28013_009_cases_unspecified; claim_rec_src_search_a39e4fa28013_010_cases_unspecified; claim_rec_src_search_a39e4fa28013_013_cases_unspecified; claim_rec_src_search_2fc9cc9ad3e4_002_cases_unspecified; claim_rec_src_search_2fc9cc9ad3e4_003_cases_unspecified; claim_rec_src_search_2fc9cc9ad3e4_003_deaths; claim_rec_src_search_2fc9cc9ad3e4_004_cases_unspecified; claim_rec_src_search_a666cd39412c_002_cases_unspecified; claim_rec_src_search_a666cd39412c_003_deaths; claim_rec_src_search_fc3322f3069f_001_cases_unspecified; claim_rec_src_search_fc3322f3069f_002_cases_unspecified; claim_rec_src_search_be93a6fa0503_001_cases_unspecified; claim_rec_src_search_fc3322f3069f_001_deaths; claim_rec_src_search_fc3322f3069f_002_deaths; src_search_ccc444806280; src_search_b9348b953aaa; src_search_a39e4fa28013; src_search_2fc9cc9ad3e4; src_search_a666cd39412c; src_search_fc3322f3069f; src_search_be93a6fa0503; corr_event_001,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,needs_more_evidence; defer_decision,2024-08-01-2024-08-31,West Nile virus,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,California,P0_critical,2,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,"conflicting claims review - review_claim_corroboration_conflict_corr_event_004 - West Nile virus, spread by mosquitoes, claims a third li...","West Nile virus, spread by mosquitoes, claims a third life in the San Joaquin Valley - The Intersection",https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_c0d70a141aca_001_deaths; claim_rec_src_search_c0d70a141aca_001_cases_unspecified; claim_rec_src_search_a39e4fa28013_002_cases_unspecified; src_search_c0d70a141aca; src_search_a39e4fa28013; corr_event_004,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,needs_more_evidence; defer_decision,2024-08-01-2024-08-31,West Nile virus,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,California,P0_critical,3,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,"conflicting claims review - review_claim_corroboration_conflict_corr_event_005 - West Nile virus, spread by mosquitoes, claims a third li...","West Nile virus, spread by mosquitoes, claims a third life in the San Joaquin Valley - The Intersection",https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_c0d70a141aca_002_deaths; claim_rec_src_search_c0d70a141aca_002_cases_unspecified; claim_rec_src_search_a39e4fa28013_005_cases_unspecified; src_search_c0d70a141aca; src_search_a39e4fa28013; corr_event_005,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-07-31,West Nile Virus Disease,"There were 29 new West Nile Virus cases in humans last week, bringing the total for the year to 55 cases.",primary_case_dataset_blocker,record_linking,California,P0_critical,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_linking_event_011 - What to know about West Nile Virus as cases increase in Northern ...,What to know about West Nile Virus as cases increase in Northern ...,https://www.kcra.com/article/what-to-know-about-west-nile-virus-as-cases-increase-in-northern-california/44964537,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_a666cd39412c_001,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,"The California Department of Public Health reports that as of July 5, there were zero cases of the West Nile Virus in people across the state.",primary_case_dataset_blocker,record_linking,California,P0_critical,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_linking_event_012 - 3 cases of West Nile Virus confirmed in Fresno County - ABC30,3 cases of West Nile Virus confirmed in Fresno County - ABC30,https://abc30.com/post/3-cases-west-nile-virus-confirmed-fresno-county/15049337,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_2fc9cc9ad3e4_002; rec_src_search_b9348b953aaa_008,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,"| **Human cases (fatal)** | 3 (0) | 791 (32) | 880 (21) | 278 (9) | 382 (22) | 446 (15) | 112 (5) | 112 (6) | 159 (9) | 480 (23) | 387 (19) | 842 (34) | 800 (55) | 461 (21) | 556 (44) | 217 (11) | 225 (6) | 214 (15) | 129 (12) | 209 (15) | 433 (20) | 132 (12) | 116 (11) | 0 (0) | 8,364 (417) |",primary_case_dataset_blocker,record_linking,California,P0_critical,6,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_linking_event_014 - California West Nile Virus Website: Westnile.ca.gov,California West Nile Virus Website: Westnile.ca.gov,https://westnile.ca.gov,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_fc3322f3069f_002,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,"| **Human cases (fatal)** | 3 (0) | 791 (32) | 880 (21) | 278 (9) | 382 (22) | 446 (15) | 112 (5) | 112 (6) | 159 (9) | 480 (23) | 387 (19) | 842 (34) | 800 (55) | 461 (21) | 556 (44) | 217 (11) | 225 (6) | 214 (15) | 129 (12) | 209 (15) | 433 (20) | 132 (12) | 116 (11) | 0 (0) | 8,364 (417) |",primary_case_dataset_blocker,record_linking,California,P0_critical,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_linking_event_015 - California West Nile Virus Website: Westnile.ca.gov,California West Nile Virus Website: Westnile.ca.gov,https://westnile.ca.gov,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_fc3322f3069f_001,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,"There were 29 new West Nile Virus cases in humans last week, bringing the total for the year to 55 cases.",primary_case_dataset_blocker,record_linking,California,P0_critical,8,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_linking_event_016 - What to know about West Nile Virus as cases increase in Northern ...,What to know about West Nile Virus as cases increase in Northern ...,https://www.kcra.com/article/what-to-know-about-west-nile-virus-as-cases-increase-in-northern-california/44964537,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_a666cd39412c_002; rec_src_search_ccc444806280_002,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,"FRESNO, Calif. (KFSN) -- Fresno County health officials have confirmed three cases of West Nile Virus so far in 2024.",primary_case_dataset_blocker,record_linking,"Fresno County, California",P0_critical,9,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,primary case dataset blocker - review_linking_event_023 - 3 cases of West Nile Virus confirmed in Fresno County - ABC30,3 cases of West Nile Virus confirmed in Fresno County - ABC30,https://abc30.com/post/3-cases-west-nile-virus-confirmed-fresno-county/15049337,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_2fc9cc9ad3e4_001,record,This item can change whether a record is eligible for the primary case dataset.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-08-31,West Nile Virus Disease,"Tulare County: At least 13 human cases, including one death.",primary_case_dataset_blocker,record_linking,"Tulare County, California",P0_critical,10,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"primary case dataset blocker - review_linking_event_027 - West Nile virus, spread by mosquitoes, claims a third life in the San Joaquin V...","West Nile virus, spread by mosquitoes, claims a third life in the San Joaquin Valley - The Intersection",https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley,"Inspect the record, evidence quote, source identity, and quality-gate reasons before editing a decision file.",Does this evidence support a task-compatible primary case record?,rec_src_search_c0d70a141aca_002,record,This item can change whether a record is eligible for the primary case dataset.
