session_id,node_number,node_name,status,duration_ms,last_message
goal_round04_west_nile_california_2024_08,01,task_intake_and_scope_planning,completed,3,task_intake_and_scope_planning completed.
goal_round04_west_nile_california_2024_08,02,disease_intelligence_builder,completed,52592,disease_intelligence_builder completed.
goal_round04_west_nile_california_2024_08,03,profile_and_schema_setup,completed,4,profile_and_schema_setup completed.
goal_round04_west_nile_california_2024_08,04,executable_source_planning,completed,61177,executable_source_planning completed.
goal_round04_west_nile_california_2024_08,05,query_strategy_builder,completed,11,query_strategy_builder completed.
goal_round04_west_nile_california_2024_08,06,source_discovery,completed,177014,source_discovery completed.
goal_round04_west_nile_california_2024_08,07,source_dedup_and_registry,completed,22,source_dedup_and_registry completed.
goal_round04_west_nile_california_2024_08,08,source_screening,completed,30,source_screening completed.
goal_round04_west_nile_california_2024_08,09,source_critic_and_uncertainty_routing,completed,74529,source_critic_and_uncertainty_routing completed.
goal_round04_west_nile_california_2024_08,10,content_fetch_and_parse,completed,19240,content_fetch_and_parse completed.
goal_round04_west_nile_california_2024_08,11,document_quality_check,completed,748,document_quality_check completed.
goal_round04_west_nile_california_2024_08,12,evidence_chunking_and_data_presence_flagging,completed,930,evidence_chunking_and_data_presence_flagging completed.
goal_round04_west_nile_california_2024_08,13,structured_extraction,completed,295530,structured_extraction completed.
goal_round04_west_nile_california_2024_08,14,schema_validation_and_repair,completed,247,schema_validation_and_repair completed.
goal_round04_west_nile_california_2024_08,15,record_normalization,completed,134,record_normalization completed.
goal_round04_west_nile_california_2024_08,16,record_linking,completed,105,record_linking completed.
goal_round04_west_nile_california_2024_08,17,cross_source_consistency_check,completed,117,cross_source_consistency_check completed.
goal_round04_west_nile_california_2024_08,18,quality_gate_routing,completed,110,quality_gate_routing completed.
goal_round04_west_nile_california_2024_08,19,human_review,pending,,
goal_round04_west_nile_california_2024_08,20,final_data_package_builder,completed,230,final_data_package_builder completed.
goal_round04_cholera_haiti_2024_q4,01,task_intake_and_scope_planning,completed,3,task_intake_and_scope_planning completed.
goal_round04_cholera_haiti_2024_q4,02,disease_intelligence_builder,completed,51262,disease_intelligence_builder completed.
goal_round04_cholera_haiti_2024_q4,03,profile_and_schema_setup,completed,4,profile_and_schema_setup completed.
goal_round04_cholera_haiti_2024_q4,04,executable_source_planning,completed,59960,executable_source_planning completed.
goal_round04_cholera_haiti_2024_q4,05,query_strategy_builder,completed,8,query_strategy_builder completed.
