session_id,node_number,node_name,status,duration_ms,last_message
goal_round03_west_nile_california_2024_08,01,task_intake_and_scope_planning,completed,2,task_intake_and_scope_planning completed.
goal_round03_west_nile_california_2024_08,02,disease_intelligence_builder,completed,46779,disease_intelligence_builder completed.
goal_round03_west_nile_california_2024_08,03,profile_and_schema_setup,completed,2,profile_and_schema_setup completed.
goal_round03_west_nile_california_2024_08,04,executable_source_planning,completed,60427,executable_source_planning completed.
goal_round03_west_nile_california_2024_08,05,query_strategy_builder,completed,10,query_strategy_builder completed.
goal_round03_west_nile_california_2024_08,06,source_discovery,completed,180102,source_discovery completed.
goal_round03_west_nile_california_2024_08,07,source_dedup_and_registry,completed,19,source_dedup_and_registry completed.
goal_round03_west_nile_california_2024_08,08,source_screening,completed,26,source_screening completed.
goal_round03_west_nile_california_2024_08,09,source_critic_and_uncertainty_routing,completed,80245,source_critic_and_uncertainty_routing completed.
goal_round03_west_nile_california_2024_08,10,content_fetch_and_parse,completed,49414,content_fetch_and_parse completed.
goal_round03_west_nile_california_2024_08,11,document_quality_check,completed,874,document_quality_check completed.
goal_round03_west_nile_california_2024_08,12,evidence_chunking_and_data_presence_flagging,completed,842,evidence_chunking_and_data_presence_flagging completed.
goal_round03_west_nile_california_2024_08,13,structured_extraction,completed,349008,structured_extraction completed.
goal_round03_west_nile_california_2024_08,14,schema_validation_and_repair,completed,172,schema_validation_and_repair completed.
goal_round03_west_nile_california_2024_08,15,record_normalization,completed,172,record_normalization completed.
goal_round03_west_nile_california_2024_08,16,record_linking,completed,112,record_linking completed.
goal_round03_west_nile_california_2024_08,17,cross_source_consistency_check,completed,138,cross_source_consistency_check completed.
goal_round03_west_nile_california_2024_08,18,quality_gate_routing,completed,116,quality_gate_routing completed.
goal_round03_west_nile_california_2024_08,19,human_review,pending,,
goal_round03_west_nile_california_2024_08,20,final_data_package_builder,completed,483,final_data_package_builder completed.
goal_round03_salmonella_us_2024_05_07,01,task_intake_and_scope_planning,completed,3,task_intake_and_scope_planning completed.
goal_round03_salmonella_us_2024_05_07,02,disease_intelligence_builder,completed,59819,disease_intelligence_builder completed.
goal_round03_salmonella_us_2024_05_07,03,profile_and_schema_setup,completed,6,profile_and_schema_setup completed.
goal_round03_salmonella_us_2024_05_07,04,executable_source_planning,completed,61174,executable_source_planning completed.
goal_round03_salmonella_us_2024_05_07,05,query_strategy_builder,completed,10,query_strategy_builder completed.
goal_round03_salmonella_us_2024_05_07,06,source_discovery,completed,179294,source_discovery completed.
goal_round03_salmonella_us_2024_05_07,07,source_dedup_and_registry,completed,25,source_dedup_and_registry completed.
goal_round03_salmonella_us_2024_05_07,08,source_screening,completed,34,source_screening completed.
goal_round03_salmonella_us_2024_05_07,09,source_critic_and_uncertainty_routing,completed,282697,source_critic_and_uncertainty_routing completed.
goal_round03_salmonella_us_2024_05_07,10,content_fetch_and_parse,completed,15016,content_fetch_and_parse completed.
goal_round03_salmonella_us_2024_05_07,11,document_quality_check,completed,1368,document_quality_check completed.
goal_round03_salmonella_us_2024_05_07,12,evidence_chunking_and_data_presence_flagging,completed,2036,evidence_chunking_and_data_presence_flagging completed.
goal_round03_salmonella_us_2024_05_07,13,structured_extraction,completed,215191,structured_extraction completed.
goal_round03_salmonella_us_2024_05_07,14,schema_validation_and_repair,completed,341,schema_validation_and_repair completed.
goal_round03_salmonella_us_2024_05_07,15,record_normalization,completed,231,record_normalization completed.
goal_round03_salmonella_us_2024_05_07,16,record_linking,completed,164,record_linking completed.
goal_round03_salmonella_us_2024_05_07,17,cross_source_consistency_check,completed,176,cross_source_consistency_check completed.
goal_round03_salmonella_us_2024_05_07,18,quality_gate_routing,completed,191,quality_gate_routing completed.
goal_round03_salmonella_us_2024_05_07,19,human_review,pending,,
goal_round03_salmonella_us_2024_05_07,20,final_data_package_builder,completed,382,final_data_package_builder completed.
goal_round03_legionnaires_nyc_2025_08,01,task_intake_and_scope_planning,completed,11,task_intake_and_scope_planning completed.
goal_round03_legionnaires_nyc_2025_08,02,disease_intelligence_builder,completed,45779,disease_intelligence_builder completed.
goal_round03_legionnaires_nyc_2025_08,03,profile_and_schema_setup,completed,6,profile_and_schema_setup completed.
goal_round03_legionnaires_nyc_2025_08,04,executable_source_planning,completed,61920,executable_source_planning completed.
goal_round03_legionnaires_nyc_2025_08,05,query_strategy_builder,completed,15,query_strategy_builder completed.
goal_round03_legionnaires_nyc_2025_08,06,source_discovery,completed,201007,source_discovery completed.
goal_round03_legionnaires_nyc_2025_08,07,source_dedup_and_registry,completed,27,source_dedup_and_registry completed.
